Nome,Lotação,Cargo,RemuneraçãoParadigma(1),VantagensPessoais(2),"Subs., Dif. Subs., Função Conf. ou Cargo Comis.",Indenizações(3),VantagensEventuais(4),Gratificações(5),Total deCréditos(6),PrevidênciaPública(7),Impostode Renda(8),DescontosDiversos(9),Retençãopor TetoConst.(10),Total deDébitos(11),RendimentoLíquido(12),Remuneraçãodo Órgão deorigem(13),Diárias(14)
ANA PAULA DE QUEIROZ ARANHA,FORUM DA COMARCA DE SÃO JOSÉ DOS CAMPOS,Juiz de Direito Auxiliar  Capital/Interior,"27.500,17",,,"5.191,73","1.447,38",,"34.139,28","3.025,01","6.259,33","185,00",,"9.469,34","24.669,94",,
CARLOS ALBERTO CORREA DE ALMEIDA OLIVEIRA,25ª VARA CRIMINAL,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","12.681,34",,"46.820,62","3.184,23","4.401,02","11.642,45",,"19.227,70","27.592,92",,
JOSE FERNANDO AZEVEDO MINHOTO,4ª VARA CRIMINAL DA COMARCA DE OSASCO,Juiz de Direito de Entrância Final,"28.947,55","3.857,17",,"4.377,73","13.262,48",,"50.444,93","3.250,91","6.363,93","190,24",,"9.805,08","40.639,85",,
ERIKA SILVEIRA DE MORAES BRANDAO,2ª VARA DA COMARCA DE SOCORRO,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73","12.941,48",,"44.259,13","2.873,85","5.902,87","481,00",,"9.257,72","35.001,41",,
WAGNER CARVALHO LIMA,FORUM DA COMARCA DE RIO CLARO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.681,34",,"46.820,62","3.184,23","5.195,41","3.520,00",,"11.899,64","34.920,98",,"1.654,58"
SILVIA ESTELA GIGENA,2ª VARA CRIMINAL DA COMARCA DE ARARAQUARA,Juiz de Direito de Entrância Final,"28.947,55","3.857,17",,"5.191,73","12.883,44",,"50.879,89","3.250,91","6.363,93","2.394,52",,"12.009,36","38.870,53",,
DIRCE ALVES BENEDITO,1ª VARA DA FAMÍLIA E SUCESSÕES DO FR IV  LAPA,Juiz de Direito Titular II,"28.947,55","3.857,17",,"5.191,73","13.136,13",,"51.132,58","3.250,91","6.363,93","407,00",,"10.021,84","41.110,74",,
CLARISSE DOS REIS ESTEVES,1ª VARA DA FAM E DAS SUCESSÕES DA CDE GUARULHOS,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73",,"14.473,77","48.613,05","4.776,34","6.215,55","4.176,33",,"15.168,22","33.444,83",,
CAIO SALVADOR FILARDI,3ª VARA FAMÍLIA E SUCESSÕES FR I  SANTANA,Juiz de Direito Titular I,"28.947,55",,,"5.567,91","13.060,38",,"47.575,84","4.620,87","6.215,55",,,"10.836,42","36.739,42",,
JOSE ANTONIO SIQUEIRA NUNES DE FARIA,2ª VARA DA FAMÍLIA E SUCESSÕES FR VII  ITAQUERA,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","6.111,25",,"40.250,53","3.184,23","6.713,88","37,00",,"9.935,11","30.315,42",,
JEFFERSON BARBIN TORELLI,VARA JÚRI EXEC CRIM INFÂN E JUVENT DA C DE JUNDIAÍ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.807,69",,"46.946,97","4.593,08","6.163,41",,,"10.756,49","36.190,48",,
DARCI LOPES BERALDO,VARA DA FAZENDA PÚBLICA C PRESIDENTE PRUDENTE,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.175,97",,"46.315,25","4.523,58","6.059,14",,,"10.582,72","35.732,53",,
MARCIA FARIA MATHEY LOUREIRO,V VIOL DOMEST FAM MULHER DA C S JOSÉ DOS CAMPOS,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.934,03",,"47.073,31","3.184,23","6.215,55","502,14",,"9.901,92","37.171,39",,
PAULO ROBERTO FERREIRA SAMPAIO,5ª VARA CÍVEL DO FORO REGIONAL III  JABAQUARA,Juiz de Direito Titular II,"28.947,55","5.371,63",,"5.191,73","13.767,85",,"53.278,76","4.765,37","6.461,69","7.653,17",,"18.880,23","34.398,53",,
CESAR LUIS DE SOUZA PEREIRA,4ª VARA CRIMINAL DA COMARCA DE SOROCABA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.681,34",,"46.820,62","3.184,23","6.059,14",,,"9.243,37","37.577,25",,
CARLOS JOSE ZULIAN,1ª VARA CRIMINAL,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","12.555,00",,"46.694,28","3.184,23","6.059,14",,,"9.243,37","37.450,91",,
SEVERINO GONCALVES DE FARIAS FILHO,FORUM DA COMARCA DE MOGI MIRIM,Juiz de Direito de Entrância Intermediária,"19.684,38",,,,,,"19.684,38","2.165,28","3.948,39",,,"6.113,67","13.570,71",,
ISABEL CRISTINA ALONSO BEZERRA DOS SANTOS,2ª VARA JÚRI E EXEC CRIM DA C DE RIBEIRÃO PRETO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","14.289,49",,"48.428,77","3.184,23","6.215,55","29,00",,"9.428,78","38.999,99",,
VICENTE LUIZ ADUA,14ª VARA CRIMINAL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","12.934,03","14.473,77","61.547,08","4.776,34","5.437,41","3.380,00",,"13.593,75","47.953,33",,
ADRIANA FACCINI RODRIGUES,1ª VARA CÍVEL DA COMARCA DE SOROCABA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","20.917,38",,"55.056,66","3.184,23","7.645,84","6.841,72",,"17.671,79","37.384,87",,
LUIZ CARLOS DITOMMASO,VARA DA INFÂN E DA JUVENT C DE S BERNARDO DO CAMPO,Juiz de Direito de Entrância Final,"28.947,55","5.025,99",,"5.191,73","15.800,65",,"54.965,92","3.366,74","6.569,51",,,"9.936,25","45.029,67",,
ANTONIO DE OLIVEIRA ANGRISANI FILHO,27ª VARA CRIMINAL,Juiz de Direito Titular I,"28.947,55","606,26",,"5.191,73","13.009,79",,"47.755,33","3.250,91","3.723,83","9.031,62",,"16.006,36","31.748,97",,
CATARINA SILVIA RUYBAL DA SILVA ESTIMO,FORUM DA COMARCA DE MOGI DAS CRUZES,Juiz de Direito de Entrância Intermediária,"19.765,74",,,,"10.126,12",,"29.891,86","2.174,23","3.916,16",,,"6.090,39","23.801,47",,
ENOQUE CARTAXO DE SOUZA,VARA DA FAZENDA PÚBLICA DA C DE PRAIA GRANDE,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.681,34",,"46.820,62","3.184,23","6.059,14","3.755,40",,"12.998,77","33.821,85",,
PEDRO PAULO FERRONATO,2ª VARA DA FAM E SUC DA COMARCA DE PIRACICABA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.807,69",,"46.946,97","3.184,23","6.059,14",,,"9.243,37","37.703,60",,
CYNTHIA TORRES CRISTOFARO,23ª VARA CRIMINAL,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","12.428,66",,"46.567,94","3.184,23","6.163,41","500,00",,"9.847,64","36.720,30",,
JOSE ROBERTO BERNARDI LIBERAL,VARA DO JÚRI E EXEC CRIM DA COMARCA DE ARARAQUARA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.428,66",,"46.567,94","3.184,25","5.374,51","3.058,32",,"11.617,08","34.950,86",,"790,29"
MARCIA REZENDE BARBOSA DE OLIVEIRA,3ª VARA CÍVEL DA COMARCA DE TAUBATÉ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","20.791,04",,"54.930,32","3.184,23","7.645,84",,,"10.830,07","44.100,25",,
RUI PORTO DIAS,7ª VARA FAMÍLIA E SUCESSÕES FR II  SANTO AMARO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.934,03",,"47.073,31","3.184,23","4.199,31","7.331,76",,"14.715,30","32.358,01",,
SIMONE VIEGAS DE MORAES LEME,15ª VARA DA FAZENDA PÚBLICA,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","16.667,25",,"50.806,53","3.184,23","6.447,82","111,00",,"9.743,05","41.063,48",,
ANTONIO MARIA PATINO ZORZ,29ª VARA CRIMINAL,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","12.807,69",,"46.946,97","3.195,73","6.059,14",,,"9.254,87","37.692,10",,
CARLA MONTESSO EBERLEIN,VARA DA INFÂNCIA E JUVENTUDE DO FR IV LAPA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","24.185,36",,"58.324,64","4.565,28","6.215,55","1.699,57",,"12.480,40","45.844,24",,
CLAUDIO AUGUSTO SAAD ABUJAMRA,3ª VARA CRIMINAL DA COMARCA DE BAURU,Juiz de Direito de Entrância Final,"28.947,55",,,"5.785,73","12.049,63",,"46.782,91","3.184,23","6.215,55",,,"9.399,78","37.383,13",,
MARIA CECILIA CESAR SCHIESARI,VARA J E C DO F R IX VILA PRUDENTE,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.428,66",,"46.567,94","3.184,23","6.215,55","37,00",,"9.436,78","37.131,16",,
PATRICIA HELENA HEHL FORJAZ DE TOLEDO,2ª VARA CRIMINAL DA COMARCA DE DIADEMA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","16.667,25",,"50.806,53","4.593,08","6.447,82","37,00",,"11.077,90","39.728,63",,
CHRISTINA AGOSTINI SPADONI,5ª VARA DA FAMÍLIA E DAS SUCESSÕES,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.428,66",,"46.567,94","3.184,23","6.111,27","2.774,80",,"12.070,30","34.497,64",,
FLAVIA PIRES DE OLIVEIRA,2ª VARA DA COMARCA DE PIRASSUNUNGA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"7.656,73","11.819,91",,"46.976,81","3.025,01","5.757,03",,,"8.782,04","38.194,77",,
GUILHERME SANTINI TEODORO,30ª VARA CÍVEL,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","14.965,49",,"49.104,77","3.184,23","6.478,12",,,"9.662,35","39.442,42",,
UBIRAJARA MAINTINGUER,VARA DA INFÂNCIA E DA JUVENTUDE DA C DE BAURU,Juiz de Direito de Entrância Final,"28.947,55","606,26",,"5.191,73","13.009,79",,"47.755,33","4.681,99","6.363,93",,,"11.045,92","36.709,41",,
FATIMA CRISTINA RUPPERT MAZZO,1ª VARA FAMÍLIA E SUCESSÕES C SÃO BERNARDO CAMPO,Juiz de Direito de Entrância Final,"28.947,55",,,"814,00","12.807,69",,"42.569,24","3.184,31","6.215,55","29,00",,"9.428,86","33.140,38",,
LUCILIA ALCIONE PRATA,1ª VARA CÍVEL DO FR V  SÃO MIGUEL PAULISTA,Juiz de Direito Titular I,"28.947,55",,,"5.451,53","18.218,00",,"52.617,08","3.184,23","6.938,25","66,00",,"10.188,48","42.428,60",,
VALERIA LONGOBARDI,29ª VARA CÍVEL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","21,77","14.473,77","48.634,82","4.776,34","6.163,41","6.859,97",,"17.799,72","30.835,10",,
LUIS MAURICIO SODRE DE OLIVEIRA,3ª VARA CÍVEL DA COMARCA DE SÃO JOSÉ DOS CAMPOS,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.807,69",,"46.946,97","4.593,08","6.111,27",,,"10.704,35","36.242,62",,
INAH DE LEMOS E SILVA MACHADO,19ª VARA CÍVEL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","12.681,34",,"46.820,62","4.579,17","6.215,55",,,"10.794,72","36.025,90",,
JOSE EVANDRO MELLO COSTA,4ª VARA DO F R DE VILA MIMOSA DA C DE CAMPINAS,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73",,,"34.139,28","3.184,23","6.215,55",,,"9.399,78","24.739,50",,
RONNIE HERBERT BARROS SOARES,14ª VARA CÍVEL,Juiz de Direito Titular I,"28.947,55","606,26",,"5.191,73","14.914,90",,"49.660,44","3.250,91","6.354,36","4.324,76",,"13.930,03","35.730,41",,
MARCELO BENACCHIO,2ª VARA DE REGISTROS PÚBLICOS,Juiz de Direito de Entrância Final,"28.947,55","1.041,09",,"6.493,41","16.830,10",,"53.312,15","3.298,75","6.470,35",,,"9.769,10","43.543,05",,
ANA CARLA CRISCIONE DOS SANTOS,1ª VARA DA FAM E SUC DA COMARCA DE BAURU,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","4.540,66",,"38.679,94","3.184,23","6.447,82",,,"9.632,05","29.047,89",,"1.654,58"
MARCELO MATIAS PEREIRA,10ª VARA CRIMINAL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","12.934,03",,"47.073,31","4.606,98","6.111,27",,,"10.718,25","36.355,06",,
PAULO SERGIO MANGERONA,1ª VARA CÍVEL DA COMARCA DE SANTOS,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.555,00",,"46.694,28","4.565,28","6.059,14","66,00",,"10.690,42","36.003,86",,
FLAVIO ARTACHO,2ª VARA DA COMARCA DE MIRASSOL,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"5.191,73","11.693,57",,"44.385,47","4.311,30","3.443,55","8.412,64",,"16.167,49","28.217,98",,
LUIZ ROBERTO SIMOES DIAS,1ª V FAM E SUCESSÕES DO F R XII NOSSA SENHORA DO Ó,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.934,03",,"47.073,31","4.606,98","6.215,55",,,"10.822,53","36.250,78",,
MAURICIO FOSSEN,2ª VARA DA FAM E SUC DA COMARCA DE OSASCO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.302,31",,"46.441,59","3.184,23","6.215,55",,,"9.399,78","37.041,81",,
MARIELLA FERRAZ DE ARRUDA POLLICE NOGUEIRA,VARA DO J E C DO F R XV  BUTANTÃ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.681,34",,"46.820,62","3.184,23","6.215,55","185,00",,"9.584,78","37.235,84",,
WALDIR CALCIOLARI,25ª VARA CRIMINAL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","19.331,43",,"53.470,71","4.638,48","6.818,15","29,00",,"11.485,63","41.985,08",,
PAULO ISSAMU NAGAO,3ª VARA FAM E SUCESSÕES FR V  SÃO MIGUEL PAULISTA,Juiz de Direito Titular II,"28.947,55","606,26",,"5.191,73","13.641,51",,"48.387,05","4.751,48","6.350,52","259,00",,"11.361,00","37.026,05",,
DONEK HILSENRATH GARCIA,1ª VARA DA COMARCA DE PIRASSUNUNGA,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"6.334,73","11.567,23",,"45.402,13","3.025,01","5.861,30",,,"8.886,31","36.515,82",,
CLAUDIA SARMENTO MONTELEONE,3ª VARA CÍVEL FORO REGIONAL IX  VILA PRUDENTE,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","14.839,15",,"48.978,43","3.184,23","6.634,53",,,"9.818,76","39.159,67",,
LOURENCO CARMELO TORRES,3ª VARA CÍVEL DA COMARCA DE PIRACICABA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.256,63","12.302,31","14.473,77","60.980,26","4.783,36","6.111,27",,,"10.894,63","50.085,63",,
VALERIA FERIOLI LAGRASTA,2ª VARA DA FAMÍLIA E DAS SUCESSÕES DA C DE JUNDIAÍ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","0,30",,"34.139,58","3.184,23","6.215,55","74,00",,"9.473,78","24.665,80",,
ANGELA SCHMIDT LOURENCO RODRIGUES,1ª VARA DA FAMÍLIA E DAS SUCESSÕES DA C DE JACAREÍ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","4.876,55",,"39.015,83","3.184,23","6.475,32","1.728,93",,"11.388,48","27.627,35",,"3.309,16"
MARCELO IELO AMARO,4ª VARA CÍVEL DA COMARCA DE LIMEIRA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.934,03",,"47.073,31","4.606,98","6.007,00","6.914,71",,"17.528,69","29.544,62",,
ARY CASAGRANDE FILHO,1ª VARA DA FAMÍLIA E SUCESSÕES DO FR IV  LAPA,Juiz de Direito Titular I,"28.947,55",,,"6.976,73","12.681,34",,"48.605,62","4.579,18","6.215,55",,,"10.794,73","37.810,89",,
MARCELLO DO AMARAL PERINO,42ª VARA CÍVEL,Juiz de Direito Titular II,"28.947,55",,,"7.358,43","12.555,00",,"48.860,98","3.184,31","5.022,68","7.113,97",,"15.320,96","33.540,02",,
MARCO ANTONIO COSTA NEVES BUCHALA,FORUM DA COMARCA DE POTIRENDABA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73","11.488,16","13.062,96","55.868,77","4.310,77","5.472,82","185,00",,"9.968,59","45.900,18",,"1.654,58"
FERNANDA DE ALMEIDA PERNAMBUCO,3ª VARA DA FAMÍLIA E SUCESSÕES DA C DE SANTO ANDRÉ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.428,66",,"46.567,94","3.184,23","6.215,55","3.146,56",,"12.546,34","34.021,60",,
DOMINGOS DE SIQUEIRA FRASCINO,2ª VARA DO JUIZADOESPECIAL DA FAZENDA PUBLICA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.583,93","13.060,38",,"47.591,86","3.184,23","6.111,27",,,"9.295,50","38.296,36",,
ILONA MARCIA BITTENCOURT CRUZ,5ª VARA CRIMINAL DA COMARCA DE RIBEIRÃO PRETO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.555,00",,"46.694,28","3.184,23","6.215,55","3.540,74",,"12.940,52","33.753,76",,
LUCIANO FERNANDES GALHANONE,2ª V FAM E SUCESSÕES DO FR XII NOSSA SENHORA DO Ó,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.807,69",,"46.946,97","3.184,23","6.215,55",,,"9.399,78","37.547,19",,
VIOLETA MIERA ARRIBA,2ª VARA JUIZADO ESPECIAL CÍVEL DO FR I  SANTANA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.302,31",,"46.441,59","3.184,23","6.215,55",,,"9.399,78","37.041,81",,
ROGERIO DANNA CHAIB,1ª VARA CRIMINAL DA COMARCA DE LIMEIRA,Juiz de Direito de Entrância Final,"28.947,55",,,"6.091,73","12.555,00",,"47.594,28","3.184,23","6.163,41","111,00",,"9.458,64","38.135,64",,
JACIRA JACINTO DA SILVA,16ª VARA CÍVEL,Juiz de Direito Titular II,"28.947,55","3.184,23",,"5.191,73","12.428,66",,"49.752,17","3.184,23","6.007,00","185,00",,"9.376,23","40.375,94",,
PAULO ROBERTO ZAIDAN MALUF,8ª VARA CÍVEL DA C DE SÃO JOSÉ DO RIO PRETO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.382,08","12.555,00",,"46.884,63","4.463,38","6.163,41","5.123,54",,"15.750,33","31.134,30",,
ANA CLAUDIA DOS SANTOS SILLAS,VARA DO JUIZADO ESPEC CÍVEL DA C DE SANTO ANDRÉ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.358,13","12.555,00",,"46.860,68","3.184,29","5.662,78","2.047,05",,"10.894,12","35.966,56",,
LUIZ FRANCISCO TROMBONI,FORUM DA COMARCA DE SANTOS,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.681,34",,"46.820,62","3.184,23","6.111,27","111,00",,"9.406,50","37.414,12",,
MARIO SERGIO LEITE,1ª VARA CRIMINAL,Juiz de Direito Titular II,"28.947,55","606,26",,"5.538,73","13.009,79",,"48.102,33","3.250,91","6.207,52",,,"9.458,43","38.643,90",,
JULIO CESAR BALLERINI SILVA,FORUM DA COMARCA DE ESPÍRITO SANTO DO PINHAL,Juiz de Direito de Entrância Inicial,"13.179,92",,,,"11.235,47",,"24.415,39","1.449,79","1.370,42","5.709,98",,"8.530,19","15.885,20",,
HELIA REGINA PICHOTANO,2ª VARA DA COMARCA DE ITAPIRA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.639,73","13.194,16",,"44.959,81","2.873,85","5.902,87","6.590,21",,"15.366,93","29.592,88",,
PATRICIA SUAREZ PAE KIM,1ª VARA CRIMINAL DA COMARCA DE CAMPINAS,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.302,31",,"46.441,59","3.184,23","6.215,55","6.841,72",,"16.241,50","30.200,09",,
EZEQUIEL TEIXEIRA DA MOTA,1ª VARA FAM E SUCESSÕES FR V  SÃO MIGUEL PAULISTA,Juiz de Direito Titular II,"28.947,55","3.857,26",,"5.191,73","13.388,82",,"51.385,36","3.251,00","6.311,80","29,00",,"9.591,80","41.793,56",,
HERIVELTO ARAUJO GODOY,8ª VARA CÍVEL DA COMARCA DE CAMPINAS,Juiz de Direito de Entrância Final,"28.947,55","3.487,67",,"5.191,73","13.656,95",,"51.283,90","3.214,30","6.178,18","111,00",,"9.503,48","41.780,42",,
LUIZ HENRIQUE ANTICO,F D DE ROSEIRA DA COMARCA DE APARECIDA,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.191,73","11.235,47",,"42.553,12","4.109,76","5.524,95","37,00",,"9.671,71","32.881,41",,"10.092,49"
PAULO LUCIO NOGUEIRA FILHO,1ª VARA DA FAMÍLIA E SUCESSÕES FR VII  ITAQUERA,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","12.428,66",,"46.567,94","3.184,23","6.215,55","140,00",,"9.539,78","37.028,16",,
CARLOS ANTONIO DA COSTA,3ª VARA CÍVEL DO FORO REGIONAL X  IPIRANGA,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","12.302,31",,"46.441,59","3.184,23","6.215,55",,,"9.399,78","37.041,81",,
MARCO ANTONIO BARBOSA DE FREITAS,1ª VARA CÍVEL DA COMARCA DE SÃO VICENTE,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.681,34",,"46.820,62","3.184,29","6.059,14",,,"9.243,43","37.577,19",,
JOSE GILBERTO ALVES BRAGA JUNIOR,1ª VARA DA COMARCA DE SANTA FÉ DO SUL,Juiz de Direito de Entrância Inicial,"26.125,92",,,"814,00","13.446,85",,"40.386,77","2.873,85","5.902,87","66,00",,"8.842,72","31.544,05",,
RICARDO DE CARVALHO LORGA,1ª VARA DA COMARCA DE TANABI,Juiz de Direito de Entrância Inicial,"26.125,92",,,"5.816,02","13.194,16",,"45.136,10","2.873,85","5.746,46","111,00",,"8.731,31","36.404,79",,
MARA REGINA DAGNESSA TRIPPO KIMURA,1ª VARA FAMÍLIA E SUCESSÕES FR VI  PENHA DE FRANÇA,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","12.428,66",,"46.567,94","3.184,23","6.215,55",,,"9.399,78","37.168,16",,
MARCELO DA CUNHA BERGO,4ª VARA CRIMINAL DA COMARCA DE PIRACICABA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.555,00",,"46.694,28","3.184,23","6.163,41","148,00",,"9.495,64","37.198,64",,
ANTONIO CONEHERO JUNIOR,5ª VARA CÍVEL DA COMARCA DE ARAÇATUBA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.428,66",,"46.567,94","3.184,23","6.111,27",,,"9.295,50","37.272,44",,
ANTONIO CARLOS SANTORO FILHO,11ª VARA CÍVEL DO FORO REGIONAL II  SANTO AMARO,Juiz de Direito de Entrância Final,"28.947,55",,,"7.401,73","12.555,00",,"48.904,28","3.184,23","6.215,55",,,"9.399,78","39.504,50",,
JOSE RODRIGUES ARIMATEA,VARA JÚRI EXEC CRIM INFÂN JUVENTUDE C DE FRANCA,Juiz de Direito de Entrância Final,"28.947,55","6.321,21",,"5.191,73","13.677,02",,"54.137,51","4.850,48","2.472,97","14.349,57",,"21.673,02","32.464,49",,"1.654,58"
ANA PAULA SAMPAIO DE QUEIROZ BANDEIRA LINS,9ª VARA DA FAZENDA PÚBLICA,Juiz de Direito Titular I,"28.947,55","3.857,17",,"5.191,73","13.136,13",,"51.132,58","3.250,91","6.363,93",,,"9.614,84","41.517,74",,
FABIANA CALIL CANFOUR DE ALMEIDA,1ª VARA CÍVEL DA COMARCA DE AMERICANA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.591,73","12.302,31",,"46.841,59","3.184,23","6.163,41","37,00",,"9.384,64","37.456,95",,
ANA CLAUDIA MADEIRA DE OLIVEIRA,1ª VARA CRIMINAL DA COMARCA DE PIRACICABA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.302,31",,"46.441,59","3.184,23","6.215,55","185,00",,"9.584,78","36.856,81",,
WILSON JULIO ZANLUQUI,2ª VARA DA FAM E SUC DA COMARCA DE PRAIA GRANDE,Juiz de Direito de Entrância Final,"28.947,55",,,"9.016,73","12.681,34","14.473,77","65.119,39","6.171,29","6.178,42","1.760,00",,"14.109,71","51.009,68",,
PATRICIA ALVARES CRUZ,9ª VARA CRIMINAL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","9.649,18",,"43.788,46","3.184,23","7.999,71","740,00",,"11.923,94","31.864,52",,
ROGERIO ALCAZAR,4ª VARA DAS EXECUÇÕES CRIMINAIS,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.934,03",,"47.073,31","4.606,97","6.364,12","4.838,25",,"15.809,34","31.263,97",,
SERGIO DA COSTA LEITE,33ª VARA CÍVEL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","12.934,03",,"47.073,31","3.184,23","6.215,55",,,"9.399,78","37.673,53",,
ROSANGELA DE CASSIA PIRES MONTEIRO,FORUM DA COMARCA DE JACAREÍ,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.175,97",,"46.315,25","3.184,23","6.215,55","6.841,72",,"16.241,50","30.073,75",,
DANIELA MARTINS DE CASTRO MARIANI CAVALLANTI,2ª VARA CRIMINAL,Juiz de Direito Titular I,"28.947,55",,,"5.191,73","24.813,62",,"58.952,90","3.184,23","6.849,81",,,"10.034,04","48.918,86",,
MARCOS ROBERTO DE SOUZA BERNICCHI,5ª VARA CÍVEL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","12.681,34",,"46.820,62","3.184,23","5.332,32","3.211,75",,"11.728,30","35.092,32",,
LUIS EDUARDO MEDEIROS GRISOLIA,1ª VARA CÍVEL DA COMARCA DE TUPÃ,Juiz de Direito de Entrância Intermediária,"27.500,17",,,"6.551,73","11.819,91","13.750,08","59.621,89","5.704,60","5.861,30",,,"11.565,90","48.055,99",,
ANDRE ANTONIO DA SILVEIRA ALCANTARA,VARA FAZENDA PÚBLICA DA COMARCA DE RIO CLARO,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.302,31",,"46.441,59","3.184,23","6.163,41","259,00",,"9.606,64","36.834,95",,
ANDREA CASTILLO GARCIA PARANHOS,3ª VARA FAMÍLIA E SUCESSÕES DO FR II  SANTO AMARO,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","12.681,34","14.473,77","61.294,39","4.776,34","6.163,41",,,"10.939,75","50.354,64",,
CINTIA ADAS ABIB,3ª VARA CÍVEL DA COMARCA DE DIADEMA,Juiz de Direito de Entrância Final,"28.947,55",,,"5.191,73","12.807,69",,"46.946,97","3.184,23","6.215,55",,,"9.399,78","37.547,19",,
JOSE PAULO CAMARGO MAGANO,17ª VARA CÍVEL,Juiz de Direito Titular II,"28.947,55",,,"5.300,73","14.965,49",,"49.213,77","3.184,23","5.497,61","4.134,24",,"12.816,08","36.397,69",,
AIRTON PINHEIRO DE CASTRO,12ª VARA CÍVEL,Juiz de Direito Titular II,"28.947,55",,,"5.191,73","12.807,69",,"46.946,97","4.593,08","6.163,41",,,"10.756,49","36.190,48",,
ANDREA RIBEIRO BORGES,FORUM DA COMARCA DE ITU,Juiz de Direito de Entrância Final,"28.947,55",,,"8.676,73","12.555,00","14.473,77","64.653,05","4.776,34","6.215,55",,,"10.991,89","53.661,16",,
